Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,0.268,-0.291,0.842,-1.740,-0.901,0.275
0.000,0.267,-0.300,0.842,-1.740,-0.718,0.183
0.010,0.266,-0.294,0.833,-2.046,-1.053,0.412
0.010,0.262,-0.285,0.832,-2.015,-1.053,0.580
0.010,0.265,-0.290,0.829,-2.153,-1.511,0.580
0.020,0.267,-0.285,0.834,-2.611,-1.603,0.382
0.020,0.272,-0.292,0.836,-2.595,-1.557,0.153
0.020,0.272,-0.292,0.831,-2.763,-1.756,0.092
0.030,0.269,-0.291,0.831,-2.855,-1.786,0.046
0.030,0.266,-0.291,0.844,-2.992,-2.076,-0.260
0.030,0.260,-0.292,0.836,-3.420,-2.366,-0.214
0.040,0.259,-0.295,0.840,-3.267,-2.885,-0.260
0.040,0.260,-0.294,0.837,-3.450,-2.824,-0.168
0.040,0.250,-0.286,0.832,-3.237,-2.855,0.244
0.050,0.256,-0.291,0.835,-3.389,-2.962,0.748
0.050,0.250,-0.298,0.837,-3.740,-3.863,1.252
0.060,0.260,-0.295,0.847,-3.634,-3.664,1.420
0.060,0.275,-0.289,0.857,-3.206,-2.809,1.252
0.060,0.285,-0.293,0.863,-2.748,-1.908,1.328
0.070,0.280,-0.291,0.868,-2.321,-1.130,1.191
0.070,0.284,-0.293,0.858,-1.863,-0.489,1.176
0.080,0.274,-0.292,0.855,-1.237,-0.382,1.069
0.080,0.282,-0.287,0.853,-1.038,-0.275,1.069
0.080,0.281,-0.289,0.844,-0.977,0.031,0.794
0.090,0.280,-0.296,0.847,-0.947,0.290,0.779
0.090,0.286,-0.292,0.838,-0.626,-0.046,0.626
0.100,0.277,-0.286,0.839,-1.038,-0.718,0.427
0.100,0.279,-0.297,0.835,-1.160,-0.885,0.443
0.100,0.277,-0.289,0.834,-1.496,-1.115,0.244
0.110,0.277,-0.291,0.838,-1.405,-1.282,0.229
0.110,0.272,-0.284,0.835,-1.802,-1.695,0.122
0.120,0.276,-0.289,0.833,-1.786,-2.305,-0.046
0.120,0.282,-0.286,0.836,-1.847,-2.046,-0.214
0.120,0.286,-0.281,0.845,-1.710,-1.817,-0.214
0.130,0.281,-0.282,0.837,-1.618,-2.229,-0.275
0.130,0.279,-0.286,0.843,-1.939,-2.122,-0.473
0.140,0.287,-0.287,0.839,-1.939,-1.542,-0.580
0.140,0.287,-0.284,0.843,-1.710,-0.718,-0.458
0.140,0.287,-0.291,0.837,-1.573,-0.519,-0.427
0.150,0.288,-0.286,0.836,-1.664,0.397,-0.641
0.150,0.289,-0.287,0.849,-1.298,1.115,-0.550
0.160,0.287,-0.285,0.830,-1.191,1.710,-0.718
0.160,0.282,-0.289,0.825,-1.374,1.496,-0.840
0.160,0.283,-0.285,0.836,-1.542,1.664,-1.023
0.170,0.275,-0.281,0.819,-1.908,1.695,-0.992
0.170,0.265,-0.283,0.825,-2.305,0.901,-0.885
0.180,0.267,-0.284,0.822,-2.565,0.000,-0.534
0.180,0.265,-0.286,0.826,-2.626,-0.198,-0.687
0.180,0.275,-0.290,0.831,-2.382,0.107,-0.901
0.190,0.270,-0.285,0.829,-2.336,0.534,-0.855
0.190,0.272,-0.290,0.827,-2.092,0.595,-0.962
0.200,0.269,-0.288,0.832,-2.046,0.427,-1.008
0.200,0.267,-0.285,0.833,-1.878,0.443,-0.901
0.200,0.269,-0.276,0.832,-2.229,0.534,-0.794
0.210,0.267,-0.278,0.839,-1.939,0.412,-0.977
0.210,0.267,-0.289,0.841,-1.878,0.000,-1.252
0.220,0.271,-0.289,0.843,-2.382,-0.687,-1.328
0.220,0.277,-0.289,0.843,-2.580,-1.069,-1.267
0.220,0.271,-0.287,0.850,-2.412,-1.389,-1.389
0.230,0.266,-0.301,0.856,-2.397,-2.000,-1.557
0.230,0.261,-0.299,0.866,-1.847,-2.458,-1.511
0.240,0.269,-0.301,0.872,-1.206,-2.702,-1.328
0.240,0.271,-0.297,0.869,-1.023,-2.656,-1.237
0.240,0.271,-0.299,0.862,-0.702,-2.840,-1.176
0.250,0.276,-0.292,0.854,-0.443,-2.122,-1.145
0.250,0.272,-0.292,0.861,-0.092,-1.313,-1.160
0.260,0.273,-0.297,0.858,-0.031,-0.687,-1.267
0.260,0.271,-0.293,0.852,0.229,0.198,-1.282
0.260,0.269,-0.288,0.845,0.061,1.130,-1.206
0.270,0.265,-0.291,0.836,0.092,1.588,-0.992
0.270,0.260,-0.287,0.838,0.031,1.847,-1.023
0.280,0.259,-0.287,0.852,0.061,2.351,-0.962
0.280,0.256,-0.282,0.852,-0.015,2.718,-0.794
0.280,0.251,-0.284,0.840,0.168,2.748,-0.351
0.290,0.253,-0.292,0.834,0.031,2.733,-0.351
0.290,0.254,-0.291,0.844,-0.015,2.962,-0.046
0.300,0.245,-0.286,0.843,0.122,2.718,0.015
0.300,0.252,-0.292,0.832,0.046,2.107,-0.031
0.300,0.250,-0.288,0.841,-0.015,1.786,0.107
0.310,0.256,-0.282,0.837,-0.153,1.450,0.214
0.310,0.251,-0.285,0.829,-0.305,1.008,0.092
0.320,0.250,-0.283,0.831,-0.550,0.534,0.321
0.320,0.251,-0.279,0.832,-0.733,-0.031,0.244
0.320,0.254,-0.283,0.840,-0.916,-0.672,0.183
0.330,0.256,-0.285,0.831,-1.328,-1.206,0.015
0.330,0.259,-0.278,0.832,-1.145,-1.359,0.122
0.340,0.264,-0.283,0.830,-1.435,-1.618,0.244
0.340,0.260,-0.283,0.840,-1.527,-1.466,0.260
0.340,0.260,-0.285,0.846,-1.374,-1.145,0.534
0.350,0.266,-0.290,0.856,-0.550,-1.008,0.382
0.350,0.256,-0.288,0.852,-0.229,-1.679,0.550
0.360,0.262,-0.291,0.850,-0.458,-1.725,0.351
0.360,0.268,-0.285,0.851,-0.031,-0.763,0.580
0.360,0.272,-0.285,0.852,0.061,-0.031,0.382
0.370,0.260,-0.292,0.854,0.595,0.519,0.397
0.370,0.262,-0.288,0.845,0.794,0.718,0.473
0.370,0.255,-0.285,0.842,0.824,0.794,0.351
0.380,0.261,-0.291,0.837,0.992,0.824,0.595
0.380,0.258,-0.290,0.835,0.901,0.595,0.641
0.390,0.260,-0.281,0.831,0.824,0.336,0.840
0.390,0.258,-0.283,0.829,0.779,0.198,0.916
0.390,0.260,-0.278,0.822,0.519,-0.137,0.962
0.400,0.255,-0.282,0.817,0.015,-0.275,1.115
0.400,0.258,-0.279,0.818,-0.168,-0.260,1.008
0.410,0.255,-0.286,0.810,-0.092,-0.153,1.008
0.410,0.252,-0.284,0.829,-0.198,-0.427,1.252
0.410,0.253,-0.278,0.821,-0.397,-0.351,1.405
0.420,0.260,-0.283,0.830,-0.626,-1.038,1.695
0.420,0.261,-0.275,0.818,-0.824,-1.359,1.603
0.430,0.271,-0.275,0.823,-1.237,-1.237,1.527
0.430,0.279,-0.282,0.820,-1.359,-0.779,1.557
0.430,0.272,-0.278,0.836,-1.496,-0.519,1.115
0.440,0.270,-0.274,0.832,-1.176,-0.595,1.252
0.440,0.274,-0.278,0.838,-1.008,-0.260,1.405
0.450,0.273,-0.277,0.833,-0.809,-0.046,1.191
0.450,0.268,-0.279,0.824,-0.656,0.244,1.420
0.450,0.271,-0.278,0.822,-0.748,0.260,1.313
0.460,0.271,-0.277,0.827,-0.718,0.290,1.298
0.460,0.275,-0.271,0.829,-0.794,0.382,1.069
0.470,0.273,-0.273,0.823,-0.840,0.550,0.947
0.470,0.275,-0.280,0.827,-0.534,0.366,1.008
0.470,0.272,-0.277,0.830,-0.733,0.092,0.824
0.480,0.279,-0.274,0.818,-0.733,-0.122,0.702
0.480,0.278,-0.268,0.820,-0.718,-0.137,0.748
0.490,0.275,-0.277,0.826,-1.038,-0.473,0.473
0.490,0.273,-0.281,0.817,-1.145,-0.519,0.473
0.490,0.273,-0.278,0.820,-1.328,-0.565,0.458
0.500,0.278,-0.280,0.825,-1.649,-0.824,0.244
0.500,0.281,-0.276,0.820,-1.969,-0.687,0.275
0.510,0.281,-0.279,0.834,-2.107,-0.656,0.458
0.510,0.286,-0.288,0.834,-2.229,-0.244,0.427
0.510,0.284,-0.289,0.835,-1.786,-0.076,0.382
0.520,0.278,-0.283,0.840,-1.985,0.107,0.168
0.520,0.281,-0.296,0.834,-2.260,0.351,0.290
0.520,0.277,-0.285,0.840,-2.137,0.198,0.031
0.530,0.277,-0.286,0.839,-1.832,0.565,0.122
0.530,0.275,-0.290,0.854,-1.817,0.748,0.321
0.540,0.278,-0.284,0.845,-1.573,0.885,0.305
0.540,0.278,-0.288,0.842,-1.603,1.160,0.443
0.540,0.279,-0.290,0.832,-1.542,1.542,0.427
0.550,0.278,-0.282,0.840,-1.695,1.588,0.244
0.550,0.276,-0.288,0.825,-1.847,1.511,0.168
0.560,0.281,-0.284,0.824,-1.863,1.573,0.076
0.560,0.275,-0.276,0.830,-1.817,1.573,-0.061
0.560,0.274,-0.282,0.839,-1.756,0.901,0.061
0.570,0.263,-0.282,0.843,-1.679,0.275,0.366
0.570,0.263,-0.277,0.834,-2.015,0.153,0.412
0.580,0.281,-0.286,0.842,-2.092,0.214,0.290
0.580,0.280,-0.283,0.843,-1.695,0.458,0.382
0.580,0.282,-0.284,0.833,-1.756,0.656,0.153
0.590,0.282,-0.277,0.841,-1.679,0.290,-0.015
0.590,0.282,-0.283,0.833,-1.664,0.718,-0.244
0.600,0.269,-0.286,0.835,-1.786,0.366,-0.275
0.600,0.275,-0.279,0.831,-2.046,0.061,-0.458
0.600,0.275,-0.292,0.832,-2.198,-0.336,-0.672
0.610,0.273,-0.283,0.832,-2.244,-0.565,-0.931
0.610,0.280,-0.278,0.835,-2.443,-0.641,-0.977
0.620,0.264,-0.282,0.838,-2.366,-0.870,-1.160
0.620,0.257,-0.288,0.836,-2.519,-1.023,-0.840
0.620,0.257,-0.281,0.839,-2.107,-1.221,-0.779
0.630,0.264,-0.281,0.833,-2.198,-0.565,-0.718
0.630,0.266,-0.285,0.838,-2.214,-0.137,-0.504
0.640,0.264,-0.291,0.844,-2.076,0.489,-0.275
0.640,0.270,-0.285,0.843,-2.092,0.779,-0.473
0.640,0.277,-0.288,0.844,-1.969,0.672,-0.489
0.650,0.278,-0.288,0.841,-1.863,0.611,-0.641
0.650,0.272,-0.287,0.845,-2.122,0.504,-0.901
0.660,0.261,-0.285,0.843,-1.939,0.229,-0.901
0.660,0.261,-0.285,0.842,-1.954,-0.092,-0.794
0.660,0.263,-0.290,0.841,-1.832,-0.412,-0.687
0.670,0.267,-0.283,0.844,-1.740,-0.031,-0.550
0.670,0.261,-0.283,0.842,-1.435,0.214,-0.397
0.680,0.259,-0.283,0.843,-1.328,0.183,-0.519
0.680,0.262,-0.285,0.843,-1.511,0.733,-0.427
0.680,0.269,-0.290,0.835,-1.511,0.748,-0.534
0.690,0.258,-0.287,0.837,-1.725,0.595,-0.595
0.690,0.259,-0.283,0.834,-1.908,0.290,-0.427
0.700,0.259,-0.283,0.838,-1.908,-0.198,-0.504
0.700,0.257,-0.283,0.835,-2.076,-0.595,-0.489
0.700,0.246,-0.288,0.843,-1.969,-0.824,-0.382
0.710,0.246,-0.287,0.844,-2.076,-0.611,-0.092
0.710,0.246,-0.294,0.842,-2.031,-0.443,0.122
0.720,0.250,-0.289,0.846,-1.740,-0.427,0.473
0.720,0.247,-0.288,0.854,-1.496,-0.809,0.397
0.720,0.250,-0.283,0.848,-1.069,-1.053,0.550
0.730,0.255,-0.287,0.849,-0.672,-1.359,0.672
0.730,0.252,-0.285,0.842,-0.855,-1.420,0.489
0.740,0.248,-0.284,0.847,-0.809,-1.725,0.687
0.740,0.252,-0.287,0.834,-0.931,-1.328,0.885
0.740,0.255,-0.285,0.833,-0.901,-1.557,1.053
0.750,0.262,-0.285,0.833,-1.115,-1.466,1.328
0.750,0.257,-0.286,0.840,-1.191,-1.313,1.115
0.760,0.261,-0.290,0.839,-1.160,-1.313,1.298
0.760,0.267,-0.293,0.849,-1.252,-0.947,1.282
0.760,0.272,-0.282,0.846,-0.855,-0.107,1.176
0.770,0.268,-0.288,0.849,-0.718,0.504,1.481
0.770,0.262,-0.291,0.855,-0.550,0.702,1.542
0.780,0.268,-0.287,0.844,-0.290,1.084,1.588
0.780,0.272,-0.285,0.846,-0.366,1.527,1.450
0.780,0.271,-0.286,0.855,-0.046,1.771,1.435
0.790,0.278,-0.285,0.846,-0.168,2.046,1.328
0.790,0.274,-0.286,0.854,0.107,2.397,1.191
0.800,0.271,-0.279,0.847,0.229,2.885,1.160
0.800,0.271,-0.283,0.849,0.458,2.855,1.252
0.800,0.269,-0.285,0.838,0.718,2.763,0.962
0.810,0.264,-0.279,0.840,0.794,2.519,0.992
0.810,0.261,-0.283,0.844,0.595,1.710,0.977
0.810,0.253,-0.279,0.847,0.275,1.130,1.053
0.820,0.270,-0.282,0.844,0.107,0.901,1.038
0.820,0.263,-0.278,0.841,-0.351,1.115,1.069
0.830,0.260,-0.279,0.833,-0.458,1.160,1.282
0.830,0.255,-0.281,0.833,-0.687,0.198,1.664
0.830,0.256,-0.276,0.841,-0.794,-0.611,1.618
0.840,0.260,-0.277,0.836,-0.901,-0.809,1.664
0.840,0.272,-0.277,0.838,-1.206,-0.809,1.618
