Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000,0.027,0.198,0.881,-5.908,-1.344,-15.359
0.010,0.035,0.200,0.884,-6.198,3.221,-12.656
0.020,0.035,0.201,0.855,-6.672,8.885,-9.130
0.020,0.034,0.204,0.844,-7.053,13.435,-5.908
0.030,0.051,0.209,0.838,-7.878,17.679,-3.313
0.040,0.061,0.205,0.815,-8.916,19.588,-2.427
0.040,0.056,0.195,0.815,-10.214,15.527,-3.527
0.050,0.035,0.175,0.831,-9.817,4.626,-5.160
0.060,0.024,0.171,0.847,-8.260,-7.115,-6.489
0.070,0.016,0.160,0.860,-6.107,-16.168,-6.000
0.080,0.041,0.165,0.851,-3.985,-19.664,-4.779
0.080,0.065,0.164,0.853,-1.832,-17.573,-3.496
0.090,0.084,0.169,0.840,-1.099,-12.031,-3.221
0.100,0.094,0.167,0.835,-1.374,-4.458,-3.145
0.110,0.082,0.167,0.811,-2.107,1.008,-3.847
0.120,0.057,0.159,0.802,-4.336,3.786,-4.702
0.120,0.013,0.156,0.781,-6.550,3.267,-5.237
0.130,-0.017,0.146,0.793,-9.252,-1.237,-4.748
0.140,-0.033,0.134,0.812,-10.427,-4.809,-3.634
0.150,-0.020,0.142,0.824,-11.160,-8.931,-2.061
0.160,-0.004,0.132,0.846,-11.557,-8.855,-0.809
0.160,0.004,0.126,0.874,-11.496,-7.374,0.702
0.170,0.033,0.121,0.912,-11.908,-5.084,1.557
0.180,0.058,0.109,0.948,-10.595,-1.313,2.000
0.190,0.077,0.104,0.960,-9.313,-0.168,0.687
0.200,0.068,0.103,0.984,-6.947,-0.260,-1.710
0.200,0.048,0.103,0.976,-4.305,-1.481,-3.466
0.210,0.008,0.107,0.975,-1.710,-3.679,-4.076
0.220,-0.018,0.101,0.976,0.183,-7.176,-2.580
0.230,-0.002,0.104,0.973,2.137,-8.198,-1.618
0.240,0.020,0.106,0.981,3.954,-8.947,-1.863
0.240,0.014,0.105,0.970,5.145,-9.206,-2.580
0.250,0.017,0.112,0.964,5.359,-9.130,-2.718
0.260,0.007,0.119,0.959,5.985,-7.511,-2.275
0.270,0.002,0.125,0.946,6.061,-6.885,-1.527
0.280,0.020,0.129,0.937,5.618,-5.099,-1.618
0.280,0.020,0.141,0.921,3.908,-4.779,-1.771
0.290,0.009,0.142,0.929,2.779,-5.160,-1.908
0.300,-0.001,0.140,0.939,2.702,-6.015,-1.405
0.310,-0.025,0.126,0.952,3.756,-9.053,-0.748
0.310,-0.024,0.117,0.948,5.511,-12.321,-0.290
0.320,-0.028,0.127,0.934,7.160,-15.435,0.580
0.330,-0.014,0.133,0.927,8.031,-18.153,1.115
0.340,-0.004,0.138,0.913,9.496,-16.519,1.832
0.350,0.018,0.144,0.904,9.740,-14.412,2.397
0.350,0.018,0.145,0.881,10.351,-9.328,2.824
0.360,0.032,0.150,0.856,10.031,-4.779,2.916
0.370,0.020,0.165,0.844,9.176,-0.962,2.702
0.380,0.003,0.161,0.806,7.710,0.290,2.626
0.390,-0.015,0.165,0.802,6.275,-2.794,2.885
0.390,-0.005,0.159,0.812,3.832,-5.786,3.282
0.400,0.010,0.158,0.825,2.015,-8.870,2.763
0.410,0.034,0.154,0.829,0.687,-11.130,1.481
0.420,0.026,0.145,0.855,-0.092,-11.939,0.137
0.420,0.021,0.140,0.873,0.092,-9.939,-0.702
0.430,0.009,0.134,0.880,-0.076,-8.290,-1.206
0.440,-0.014,0.131,0.884,0.397,-7.313,-0.870
0.450,-0.016,0.129,0.903,0.885,-6.076,0.351
0.460,-0.022,0.123,0.901,2.046,-7.145,1.038
0.460,0.002,0.124,0.906,2.947,-6.366,1.969
0.470,0.015,0.129,0.896,3.802,-4.855,2.336
0.480,0.020,0.143,0.892,4.885,-5.420,2.198
0.490,0.027,0.151,0.888,4.763,-6.641,1.725
0.490,0.040,0.161,0.879,4.947,-6.397,1.359
0.500,0.055,0.173,0.865,3.985,-6.382,0.840
0.510,0.066,0.179,0.861,3.466,-6.733,0.183
0.520,0.076,0.179,0.867,3.435,-6.137,-0.992
0.530,0.078,0.182,0.867,3.634,-5.557,-2.382
0.530,0.077,0.183,0.862,3.298,-5.206,-2.901
0.540,0.080,0.188,0.869,2.412,-5.878,-3.298
0.550,0.084,0.190,0.864,1.481,-7.939,-4.412
0.560,0.097,0.183,0.884,-0.153,-7.679,-5.710
0.560,0.085,0.174,0.903,-0.443,-6.534,-6.305
0.570,0.054,0.165,0.927,0.305,-4.916,-5.924
0.580,0.038,0.156,0.935,1.740,-4.305,-5.115
0.590,0.025,0.153,0.944,3.435,-3.481,-3.679
0.600,0.010,0.155,0.954,5.527,-2.626,-1.679
0.600,0.007,0.147,0.950,7.847,-2.687,0.244
0.610,0.025,0.151,0.943,9.267,-3.847,1.252
0.620,0.023,0.158,0.932,10.260,-4.092,1.695
0.630,0.037,0.164,0.913,10.626,-5.145,2.443
0.630,0.044,0.167,0.913,10.641,-5.679,2.870
0.640,0.053,0.170,0.908,10.855,-5.588,3.344
0.650,0.067,0.177,0.887,10.931,-5.817,3.466
0.660,0.081,0.192,0.888,10.779,-6.458,2.901
0.670,0.092,0.194,0.881,10.809,-4.489,2.183
0.670,0.108,0.196,0.862,10.183,-2.763,1.298
0.680,0.090,0.201,0.861,9.405,-2.565,1.206
0.690,0.078,0.202,0.849,9.191,-3.267,1.328
0.700,0.079,0.199,0.852,8.611,-4.885,1.527
0.700,0.073,0.198,0.845,7.466,-6.198,1.756
0.710,0.089,0.199,0.862,6.672,-7.328,1.756
0.720,0.081,0.197,0.857,6.260,-8.763,1.176
0.730,0.080,0.200,0.873,5.267,-9.618,0.840
0.740,0.077,0.196,0.872,5.374,-9.298,1.069
0.740,0.075,0.200,0.871,5.679,-9.802,1.557
0.750,0.076,0.202,0.866,5.985,-10.198,1.969
0.760,0.075,0.206,0.851,6.382,-9.969,2.718
0.770,0.079,0.212,0.828,5.115,-11.954,3.206
0.770,0.091,0.214,0.824,4.122,-10.412,3.496
0.780,0.096,0.226,0.811,2.672,-8.397,3.511
0.790,0.100,0.222,0.803,1.496,-8.000,3.466
0.800,0.093,0.221,0.784,0.672,-8.580,3.313
0.800,0.104,0.222,0.779,-0.275,-8.565,3.206
0.810,0.104,0.218,0.778,-1.664,-7.664,3.008
0.820,0.106,0.222,0.779,-2.916,-6.565,3.588
0.830,0.106,0.220,0.771,-3.481,-6.183,4.092
0.840,0.111,0.228,0.784,-4.489,-7.573,3.924
0.840,0.107,0.220,0.773,-4.321,-8.092,3.634
0.850,0.104,0.223,0.781,-5.359,-11.374,3.466
0.860,0.125,0.227,0.777,-6.000,-11.023,3.023
0.870,0.125,0.221,0.788,-7.160,-10.641,2.626
0.880,0.157,0.211,0.805,-7.405,-10.046,1.496
0.880,0.146,0.213,0.808,-7.847,-9.130,0.427
0.890,0.146,0.212,0.801,-7.450,-6.763,-0.107
0.900,0.144,0.211,0.809,-8.092,-5.908,-0.779
0.910,0.141,0.205,0.812,-8.275,-2.611,-1.496
0.910,0.126,0.202,0.812,-8.992,-1.679,-1.863
0.920,0.115,0.199,0.815,-9.954,-2.824,-2.840
0.930,0.111,0.200,0.830,-10.382,-3.618,-3.435
0.940,0.103,0.190,0.843,-10.779,-4.336,-3.450
0.950,0.088,0.181,0.839,-10.427,-5.603,-3.389
0.960,0.092,0.170,0.861,-9.557,-6.122,-3.267
0.960,0.096,0.156,0.883,-8.763,-6.107,-3.084
0.970,0.106,0.161,0.896,-7.634,-2.641,-2.748
0.980,0.104,0.159,0.890,-7.252,-1.023,-2.824
0.990,0.100,0.165,0.889,-6.534,1.466,-2.824
0.990,0.091,0.159,0.895,-5.954,1.695,-2.550
1.000,0.090,0.161,0.893,-5.298,0.183,-3.008
1.010,0.087,0.167,0.891,-4.427,-0.824,-3.023
1.020,0.081,0.164,0.886,-3.786,-1.908,-2.733
1.030,0.093,0.171,0.870,-3.985,-2.656,-2.443
1.030,0.103,0.171,0.877,-4.397,-2.504,-2.061
1.040,0.114,0.175,0.875,-4.672,-2.626,-1.969
1.050,0.116,0.162,0.889,-4.244,-2.061,-2.290
1.060,0.118,0.166,0.879,-3.878,-1.603,-2.397
1.070,0.126,0.166,0.879,-3.466,0.107,-2.382
1.070,0.111,0.166,0.877,-3.206,2.046,-2.382
1.080,0.125,0.169,0.875,-3.252,1.420,-2.321
1.090,0.121,0.164,0.873,-2.626,2.565,-2.626
1.100,0.117,0.165,0.860,-2.962,2.519,-2.519
1.110,0.118,0.171,0.847,-3.496,2.061,-2.519
1.110,0.103,0.172,0.832,-4.672,2.015,-2.122
1.120,0.100,0.169,0.827,-6.092,0.321,-1.954
