Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
0.0,680.0,-2672.0,16788.0,-360.0,-510.0,-22283.0
