Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000,0.258,-0.279,0.828,-0.885,-2.733,-0.840
0.000,0.251,-0.280,0.833,-0.870,-3.313,-1.008
0.010,0.256,-0.288,0.833,-0.779,-3.664,-0.901
0.010,0.256,-0.282,0.834,-0.779,-3.985,-0.931
0.010,0.252,-0.286,0.835,-0.595,-4.794,-0.489
0.020,0.242,-0.285,0.836,-0.626,-5.832,-0.153
0.020,0.232,-0.286,0.826,-1.008,-6.748,0.092
0.020,0.254,-0.283,0.825,-1.588,-7.893,0.473
0.030,0.277,-0.285,0.843,-2.076,-7.084,0.351
0.030,0.287,-0.280,0.844,-1.863,-5.252,0.107
0.030,0.288,-0.286,0.854,-2.092,-3.817,0.107
0.040,0.282,-0.290,0.850,-2.183,-3.069,0.076
0.040,0.280,-0.292,0.862,-2.076,-2.489,0.092
0.040,0.282,-0.295,0.855,-1.603,-1.313,0.076
0.050,0.284,-0.294,0.863,-1.298,0.214,0.122
0.050,0.282,-0.300,0.875,-0.794,1.282,-0.031
0.060,0.283,-0.295,0.863,0.000,2.000,-0.122
0.060,0.285,-0.293,0.872,0.458,1.924,-0.305
0.060,0.286,-0.294,0.881,1.298,2.321,-0.702
0.070,0.291,-0.285,0.856,1.618,2.229,-1.237
0.070,0.280,-0.281,0.847,1.679,1.695,-1.557
0.080,0.275,-0.283,0.830,1.206,1.695,-1.786
0.080,0.270,-0.279,0.834,1.084,1.756,-1.939
0.080,0.257,-0.278,0.820,0.809,1.725,-2.076
0.090,0.260,-0.276,0.819,0.107,1.847,-2.046
0.090,0.253,-0.280,0.826,-0.382,1.863,-2.015
0.090,0.245,-0.279,0.826,-0.489,2.214,-1.557
0.100,0.246,-0.274,0.832,-0.534,2.397,-1.435
0.100,0.254,-0.283,0.829,-0.336,3.359,-1.130
0.110,0.259,-0.286,0.833,-0.214,4.427,-0.947
0.110,0.259,-0.284,0.833,-0.031,4.107,-1.023
0.110,0.245,-0.279,0.830,-0.198,2.611,-1.023
0.120,0.249,-0.276,0.828,-0.809,0.947,-1.130
0.120,0.253,-0.278,0.844,-1.069,0.336,-1.359
0.130,0.267,-0.269,0.849,-1.206,0.122,-1.542
0.130,0.260,-0.272,0.840,-0.962,-0.443,-1.832
0.130,0.253,-0.279,0.843,-0.916,-1.710,-1.725
0.140,0.246,-0.278,0.839,-0.382,-2.260,-1.618
0.140,0.250,-0.275,0.843,0.000,-2.565,-1.313
0.150,0.253,-0.275,0.830,0.076,-2.046,-1.313
0.150,0.252,-0.275,0.829,0.366,-1.618,-1.053
0.150,0.252,-0.276,0.829,0.198,-0.931,-1.038
0.160,0.256,-0.276,0.834,-0.015,-0.061,-0.855
0.160,0.260,-0.272,0.824,0.000,0.931,-0.870
0.170,0.261,-0.272,0.822,-0.519,1.130,-0.931
0.170,0.260,-0.279,0.830,-1.084,1.481,-1.099
0.170,0.260,-0.274,0.836,-0.962,1.557,-1.115
0.180,0.260,-0.278,0.836,-0.779,1.420,-1.115
0.180,0.257,-0.279,0.841,-1.176,0.931,-1.405
0.190,0.257,-0.275,0.835,-1.191,-0.107,-1.664
0.190,0.260,-0.272,0.835,-1.221,-0.855,-1.924
0.200,0.261,-0.280,0.835,-1.023,-1.802,-2.076
0.200,0.255,-0.279,0.833,-0.870,-2.794,-2.076
0.200,0.242,-0.272,0.822,-0.748,-3.221,-1.679
0.210,0.245,-0.272,0.829,-0.763,-3.435,-1.313
0.210,0.248,-0.281,0.836,-0.947,-3.221,-1.084
0.220,0.254,-0.270,0.842,-1.023,-2.489,-0.840
0.220,0.255,-0.275,0.842,-1.008,-1.771,-0.626
0.220,0.253,-0.275,0.827,-1.206,-0.870,-0.214
0.230,0.256,-0.274,0.832,-1.313,0.382,-0.031
0.230,0.263,-0.278,0.829,-1.511,1.817,0.168
0.240,0.265,-0.277,0.834,-1.802,3.145,0.427
0.240,0.263,-0.276,0.841,-1.878,3.985,0.641
0.240,0.256,-0.281,0.834,-1.802,4.412,0.504
0.250,0.253,-0.278,0.838,-1.725,4.153,0.779
0.250,0.257,-0.279,0.842,-1.969,3.389,0.611
0.260,0.259,-0.282,0.838,-1.664,2.504,0.611
0.260,0.259,-0.282,0.854,-1.313,1.924,0.183
0.260,0.250,-0.283,0.853,-0.931,0.840,-0.031
0.270,0.243,-0.290,0.847,-0.534,-0.336,-0.061
0.270,0.233,-0.282,0.842,-0.397,-1.985,0.031
0.280,0.234,-0.284,0.836,-0.153,-3.573,0.153
0.280,0.244,-0.278,0.838,-0.580,-4.687,0.015
0.280,0.255,-0.276,0.836,-0.565,-4.183,0.290
0.290,0.254,-0.272,0.839,-0.748,-3.435,0.412
0.290,0.256,-0.284,0.838,-0.855,-3.130,0.534
0.290,0.260,-0.279,0.834,-1.237,-2.321,0.412
0.300,0.264,-0.277,0.838,-1.420,-0.992,0.763
0.300,0.268,-0.284,0.848,-1.573,0.458,0.794
0.310,0.265,-0.285,0.842,-1.221,1.649,0.824
0.310,0.262,-0.287,0.844,-1.252,2.305,0.870
0.310,0.261,-0.285,0.845,-1.084,2.687,0.901
0.320,0.263,-0.279,0.839,-0.824,2.824,0.977
0.320,0.258,-0.283,0.843,-0.656,2.641,0.931
0.330,0.259,-0.287,0.842,-0.534,2.718,0.962
0.330,0.261,-0.278,0.838,-0.244,2.473,0.809
0.330,0.260,-0.276,0.837,-0.183,2.519,0.534
0.340,0.263,-0.276,0.825,-0.092,2.550,0.427
