Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.0,796.0,-2020.0,16596.0,-188.0,-509.0,7416.0
0.01,632.0,-1840.0,16468.0,-308.0,-254.0,30968.0
0.02,408.0,-1892.0,16572.0,-478.0,-255.0,-26376.0
0.03,132.0,-1860.0,16460.0,-542.0,-512.0,-31496.0
0.04,316.0,-2152.0,16536.0,-585.0,-511.0,15607.0
0.05,620.0,-2224.0,16564.0,-585.0,-766.0,27895.0
0.06,772.0,-2300.0,16436.0,-494.0,-509.0,1271.0
0.07,656.0,-2104.0,16672.0,-395.0,-254.0,-28425.0
0.08,424.0,-1924.0,16520.0,-385.0,-255.0,-22280.0
0.09,456.0,-1936.0,16500.0,-321.0,-255.0,-14088.0
0.1,528.0,-2116.0,16620.0,-329.0,-510.0,4343.0
0.11,480.0,-2180.0,16652.0,-346.0,-511.0,-7945.0
0.12,796.0,-2316.0,16816.0,-270.0,-509.0,7414.0
0.13,1040.0,-2276.0,16860.0,-181.0,-252.0,4343.0
0.14,1144.0,-2096.0,16812.0,-158.0,-252.0,30967.0
0.15,924.0,-2004.0,16712.0,-166.0,3.0,-25352.0
0.16,844.0,-1936.0,16680.0,-198.0,3.0,19704.0
0.17,576.0,-1808.0,16584.0,-241.0,2.0,16632.0
0.18,524.0,-2008.0,16616.0,-310.0,258.0,3320.0
0.19,460.0,-2200.0,16672.0,-301.0,257.0,-13065.0
0.2,340.0,-2160.0,16620.0,-328.0,1.0,21751.0
0.21,372.0,-2032.0,16704.0,-353.0,1.0,29944.0
0.22,764.0,-2164.0,16860.0,-313.0,-254.0,-777.0
0.23,896.0,-2264.0,16752.0,-231.0,3.0,-32521.0
0.24,864.0,-1996.0,16564.0,-191.0,3.0,24824.0
0.25,908.0,-2004.0,16620.0,-234.0,3.0,-29448.0
0.26,592.0,-1896.0,16516.0,-286.0,258.0,20728.0
0.27,368.0,-1996.0,16332.0,-362.0,257.0,28920.0
0.28,108.0,-2020.0,16280.0,-367.0,256.0,27896.0
0.29,80.0,-1992.0,16368.0,-353.0,0.0,20728.0
0.3,196.0,-2012.0,16572.0,-370.0,-256.0,-15112.0
0.31,316.0,-2196.0,16528.0,-320.0,-511.0,15607.0
0.32,488.0,-2152.0,16572.0,-316.0,-511.0,-5897.0
0.33,828.0,-2108.0,16328.0,-356.0,-509.0,15607.0
0.34,708.0,-2064.0,16500.0,-388.0,-254.0,-15113.0
0.35,576.0,-2168.0,16508.0,-422.0,-254.0,16631.0
0.36,564.0,-2384.0,16476.0,-450.0,-254.0,13558.0
0.37,440.0,-2292.0,16692.0,-404.0,-255.0,-18185.0
0.38,444.0,-2200.0,16820.0,-279.0,-255.0,-17161.0
0.39,428.0,-2084.0,16748.0,-257.0,-511.0,-21257.0
0.4,624.0,-1992.0,16568.0,-330.0,-510.0,28920.0
0.41,664.0,-2136.0,16736.0,-353.0,-510.0,-26377.0
0.42,728.0,-2088.0,16576.0,-359.0,-510.0,-9993.0
0.43,684.0,-2008.0,16592.0,-388.0,-254.0,-21256.0
0.44,624.0,-2052.0,16516.0,-487.0,-254.0,28919.0
0.45,500.0,-2164.0,16540.0,-452.0,-255.0,-2825.0
0.46,440.0,-2248.0,16668.0,-464.0,-255.0,-18185.0
